em,variable,CEDS16
BC,Emissions|BC,
BC,Emissions|BC|AFOLU,
BC,Emissions|BC|AFOLU|Aggregate - Agriculture and Biomass Burning,Agriculture
BC,Emissions|BC|AFOLU|Agriculture,
BC,Emissions|BC|AFOLU|Agriculture|Livestock,
BC,Emissions|BC|AFOLU|Agriculture|Livestock|Enteric Fermentation,
BC,Emissions|BC|AFOLU|Agriculture|Rice,
BC,Emissions|BC|AFOLU|Biomass Burning,
BC,Emissions|BC|AFOLU|Land,
BC,Emissions|BC|AFOLU|Land|Forest Burning,Forest Burning
BC,Emissions|BC|AFOLU|Land|Grassland Burning,Grassland Burning
BC,Emissions|BC|Aggregate - Fossil Fuels and Industry,
BC,Emissions|BC|Energy,
BC,Emissions|BC|Energy|Demand,
BC,Emissions|BC|Energy|Demand|Aggregate - Residential and Commercial,Residential Commercial Other - Residential Commercial
BC,Emissions|BC|Energy|Demand|Commercial,
BC,Emissions|BC|Energy|Demand|Industry,Industrial Combustion
BC,Emissions|BC|Energy|Demand|Residential,
BC,Emissions|BC|Energy|Demand|Transportation,
BC,Emissions|BC|Energy|Demand|Transportation|Aggregate - Rail and Domestic Shipping,Non-Road Transportation
BC,Emissions|BC|Energy|Demand|Transportation|Aggregate - Road Rail and Domestic Shipping,
BC,Emissions|BC|Energy|Demand|Transportation|Aviation,Aircraft
BC,Emissions|BC|Energy|Demand|Transportation|Aviation|Domestic,
BC,Emissions|BC|Energy|Demand|Transportation|Aviation|International,
BC,Emissions|BC|Energy|Demand|Transportation|Rail,
BC,Emissions|BC|Energy|Demand|Transportation|Road,Road Transportation
BC,Emissions|BC|Energy|Demand|Transportation|Shipping,
BC,Emissions|BC|Energy|Demand|Transportation|Shipping|Domestic,
BC,Emissions|BC|Energy|Demand|Transportation|Shipping|International,International Shipping
BC,Emissions|BC|Energy|Other,
BC,Emissions|BC|Energy|Supply,
BC,Emissions|BC|Energy|Supply|Aggregate - Electricity and Heat,Electricity and Heat Production
BC,Emissions|BC|Energy|Supply|Electricity,
BC,Emissions|BC|Energy|Supply|Gases,
BC,Emissions|BC|Energy|Supply|Heat,
BC,Emissions|BC|Energy|Supply|Liquids,
BC,Emissions|BC|Energy|Supply|Other,
BC,Emissions|BC|Energy|Supply|Solids,
BC,Emissions|BC|Industrial Processes,Industrial Process and Product Use
BC,Emissions|BC|Other,
BC,Emissions|BC|Product Use|Solvents,Solvents Production and Application
BC,Emissions|BC|Waste,Waste
CO,Emissions|CO,
CO,Emissions|CO|AFOLU,
CO,Emissions|CO|AFOLU|Aggregate - Agriculture and Biomass Burning,Agriculture
CO,Emissions|CO|AFOLU|Agriculture,
CO,Emissions|CO|AFOLU|Agriculture|Livestock,
CO,Emissions|CO|AFOLU|Agriculture|Livestock|Enteric Fermentation,
CO,Emissions|CO|AFOLU|Agriculture|Rice,
CO,Emissions|CO|AFOLU|Biomass Burning,
CO,Emissions|CO|AFOLU|Land,
CO,Emissions|CO|AFOLU|Land|Forest Burning,Forest Burning
CO,Emissions|CO|AFOLU|Land|Grassland Burning,Grassland Burning
CO,Emissions|CO|Aggregate - Fossil Fuels and Industry,
CO,Emissions|CO|Energy,
CO,Emissions|CO|Energy|Demand,
CO,Emissions|CO|Energy|Demand|Aggregate - Residential and Commercial,Residential Commercial Other - Residential Commercial
CO,Emissions|CO|Energy|Demand|Commercial,
CO,Emissions|CO|Energy|Demand|Industry,Industrial Combustion
CO,Emissions|CO|Energy|Demand|Residential,
CO,Emissions|CO|Energy|Demand|Transportation,
CO,Emissions|CO|Energy|Demand|Transportation|Aggregate - Rail and Domestic Shipping,Non-Road Transportation
CO,Emissions|CO|Energy|Demand|Transportation|Aggregate - Road Rail and Domestic Shipping,
CO,Emissions|CO|Energy|Demand|Transportation|Aviation,Aircraft
CO,Emissions|CO|Energy|Demand|Transportation|Aviation|Domestic,
CO,Emissions|CO|Energy|Demand|Transportation|Aviation|International,
CO,Emissions|CO|Energy|Demand|Transportation|Rail,
CO,Emissions|CO|Energy|Demand|Transportation|Road,Road Transportation
CO,Emissions|CO|Energy|Demand|Transportation|Shipping,
CO,Emissions|CO|Energy|Demand|Transportation|Shipping|Domestic,
CO,Emissions|CO|Energy|Demand|Transportation|Shipping|International,International Shipping
CO,Emissions|CO|Energy|Other,
CO,Emissions|CO|Energy|Supply,
CO,Emissions|CO|Energy|Supply|Aggregate - Electricity and Heat,Electricity and Heat Production
CO,Emissions|CO|Energy|Supply|Electricity,
CO,Emissions|CO|Energy|Supply|Gases,
CO,Emissions|CO|Energy|Supply|Heat,
CO,Emissions|CO|Energy|Supply|Liquids,
CO,Emissions|CO|Energy|Supply|Other,
CO,Emissions|CO|Energy|Supply|Solids,
CO,Emissions|CO|Industrial Processes,Industrial Process and Product Use
CO,Emissions|CO|Other,
CO,Emissions|CO|Product Use|Solvents,Solvents Production and Application
CO,Emissions|CO|Waste,Waste
NH3,Emissions|NH3,
NH3,Emissions|NH3|AFOLU,
NH3,Emissions|NH3|AFOLU|Aggregate - Agriculture and Biomass Burning,Agriculture
NH3,Emissions|NH3|AFOLU|Agriculture,
NH3,Emissions|NH3|AFOLU|Agriculture|Livestock,
NH3,Emissions|NH3|AFOLU|Agriculture|Livestock|Enteric Fermentation,
NH3,Emissions|NH3|AFOLU|Agriculture|Rice,
NH3,Emissions|NH3|AFOLU|Biomass Burning,
